Designation,Discovery Date YYYY-MM-DD,H (mag),MOID (AU),q (AU),Q (AU),period (yr),i (deg),PHA,Orbit Class
C/2010 KW7 (WISE),05/16/2010,,1.625,2.57,197.11,997.65,147.06,n/a,Comet
317P/WISE,05/27/2010,,0.204,1.2,4.65,5.01,10.65,n/a,Jupiter-family Comet
(2010 KH),05/16/2010,19.4,0.367,1.24,4.28,4.59,14.57,N,Amor
(2010 JM151),05/14/2010,19.6,0.111,0.88,2.52,2.21,16.65,N,Apollo
(2010 JH87),05/11/2010,19.6,0.221,0.71,2.37,1.91,43.78,N,Apollo
(2010 JG87),05/11/2010,19.1,0.209,0.14,5.38,4.59,16.91,N,Apollo
(2010 JF87),05/11/2010,19.2,0.053,0.92,3.95,3.8,24.93,N,Apollo
(2010 JE87),05/10/2010,20.8,0.035,0.51,1.3,0.86,16.92,Y,Aten
(2010 JD87),05/07/2010,19.2,0.283,0.51,2.34,1.71,24.6,N,Apollo
P/2010 JC81 (WISE),05/10/2010,,0.828,1.81,14.46,23.19,38.69,n/a,Halley-type Comet*
(2010 JA43),05/04/2010,20.9,0.186,1.03,2.38,2.23,36.46,N,Amor
(2010 JN33),05/03/2010,20.4,0.257,1.11,2,1.94,53.15,N,Amor
C/2010 J4 (WISE),05/12/2010,,0.307,1.09,,,162.3,n/a,Parabolic Comet
(2010 HZ108),04/25/2010,20.9,0.108,0.99,1.51,1.39,22.88,N,Apollo
(2010 HX107),04/20/2010,23.6,0.014,0.56,1.04,0.72,3.36,N,Aten
(2010 HZ104),04/23/2010,22.5,0.029,0.97,3.52,3.37,20.24,N,Apollo
(2010 HW81),04/25/2010,21.4,0.117,0.33,2.1,1.33,12.77,N,Apollo
(2010 HD33),04/20/2010,18.3,0.372,1.27,3.97,4.24,24.43,N,Amor
(2010 GV147),04/14/2010,18.5,0.316,0.33,1.59,0.94,44.05,N,Aten
(2010 GR75),04/13/2010,19.6,0.299,0.63,2.82,2.27,17.78,N,Apollo
(2010 GQ75),04/12/2010,20.2,0.598,0.33,4.53,3.79,43.23,N,Apollo
(2010 GP67),04/11/2010,22.3,0.018,0.99,1.23,1.18,13.27,N,Apollo
(2010 GH65),04/10/2010,18.8,0.15,1.05,4.36,4.45,21.04,N,Amor
(2010 GX62),04/10/2010,20,0.013,0.87,5.03,5.07,21.66,Y,Apollo
(2010 GW62),04/09/2010,19.4,0.44,0.54,2,1.43,32.43,N,Apollo
(2010 GF25),04/02/2010,19.1,0.399,0.37,2.47,1.7,38.49,N,Apollo
(2010 GE25),04/01/2010,20,0.22,1.1,3.03,2.97,21.66,N,Amor
(2010 GK23),04/05/2010,19.7,0.097,0.87,4.43,4.32,34.77,N,Apollo
C/2010 G3 (WISE),04/14/2010,,4.492,4.91,5260.08,135070.2,108.27,n/a,Comet
C/2010 FB87 (WISE-Garradd),03/28/2010,,2.538,2.84,595.66,5176.82,107.63,n/a,Comet
(2010 FJ81),03/31/2010,20.8,0.128,1.14,6.06,6.82,42.54,N,Amor
(2010 FH81),03/31/2010,21.6,0.034,0.97,1.48,1.36,16.79,Y,Apollo
(2010 FG81),03/26/2010,23.3,0.019,1.01,2.31,2.14,7.97,N,Apollo
(2010 FC81),03/30/2010,21.8,0.027,1.01,4.35,4.38,1.68,Y,Apollo
(2010 FB81),03/30/2010,21.4,0.096,1.02,4.14,4.14,9.48,N,Amor
(2010 FA81),03/29/2010,22.3,0.035,1.01,1.38,1.31,15.48,N,Apollo
(2010 FZ80),03/28/2010,20.3,0.297,0.7,4.8,4.56,27.34,N,Apollo
(2010 FY80),03/28/2010,19.7,0.14,1.05,4.35,4.42,18.81,N,Amor
(2010 FX80),03/27/2010,20.6,0.535,1.18,3.15,3.19,36.96,N,Amor
(2010 EX119),03/13/2010,19.4,0.159,0.77,3.04,2.63,15.57,N,Apollo
(2010 EN44),03/12/2010,24.3,0.023,0.96,1.33,1.22,10.18,N,Apollo
(2010 EX11),03/03/2010,24.1,0.029,0.85,1.06,0.93,9.75,N,Aten
C/2010 E3 (WISE),03/05/2010,,1.546,2.27,,,96.48,n/a,Parabolic Comet
(2010 DJ77),02/20/2010,21.6,0.05,0.75,1.16,0.93,24.98,Y,Aten
(2010 DH77),02/19/2010,21.8,0.146,0.95,5.58,5.9,34.38,N,Apollo
(2010 DG77),02/19/2010,21.4,0.009,0.96,3.22,3.02,14.81,Y,Apollo
(2010 DM56),02/19/2010,19.9,0.006,0.92,1.69,1.49,25.61,Y,Apollo
(2010 DJ56),02/23/2010,19.3,0.028,0.94,1.56,1.4,34.84,Y,Apollo
(2010 DH56),02/20/2010,20.3,0.333,0.97,3.51,3.35,33.67,N,Apollo
C/2010 DG56 (WISE),02/18/2010,,0.65,1.59,133.48,555.03,160.42,n/a,Comet
(2010 DK34),02/20/2010,20.4,0.333,0.65,4.83,4.54,27.34,N,Apollo
(2010 DM21),02/16/2010,20.2,0.26,0.98,4.74,4.85,21.15,N,Apollo
C/2010 D4 (WISE),02/28/2010,,6.373,7.15,122.19,520.06,105.66,n/a,Comet
C/2010 D3 (WISE),02/26/2010,,3.586,4.25,23255.11,1254179.62,76.39,n/a,Comet
P/2010 D2 (WISE),02/25/2010,,2.945,3.66,9.72,17.3,57.18,n/a,Jupiter-family Comet*
P/2010 D1 (WISE),02/17/2010,,1.683,2.67,5.63,8.45,9.65,n/a,Jupiter-family Comet
(2010 CN141),02/14/2010,22.4,0.06,0.91,2.12,1.87,23.8,N,Apollo
(2010 CP140),02/13/2010,19.5,0.097,0.88,2.92,2.62,14.47,N,Apollo
(2010 CC55),02/11/2010,22.5,0.079,0.82,2.27,1.92,6.78,N,Apollo
(2010 CA55),02/05/2010,21.3,0.151,0.67,9.89,12.13,58.85,N,Apollo
(2010 CH18),02/09/2010,19,0.333,1.12,4.09,4.21,27.15,N,Amor
(2010 CG18),02/06/2010,20.8,0.13,1.11,1.76,1.73,10.15,N,Amor
(2010 CO1),02/01/2010,21.5,0.023,0.79,1.23,1.02,24.03,Y,Apollo
P/2010 B2 (WISE),01/22/2010,,0.63,1.62,4.6,5.49,8.93,n/a,Encke-type Comet
(2010 AU118),01/13/2010,17.7,0.147,1.13,2.12,2.06,43.73,N,Amor
(2010 AG79),01/13/2010,19.9,0.244,1.22,4.59,4.95,32.96,N,Amor
(2010 AB78),01/12/2010,18.3,0.206,1.02,3.49,3.38,33.26,N,Amor
